,prc2
cg00001582,0.5396720170974731
cg00003994,0.20987200736999512
cg00004555,0.08994530141353607
cg00013189,1.2292499542236328
cg00032807,0.08994530141353607
cg00032872,0.8394899964332581
cg00036788,0.3597809970378876
cg00044472,0.05996359884738922
cg00045149,0.50968998670578
cg00046850,1.7089600563049316
cg00049667,0.05996359884738922
cg00049718,0.08994530141353607
cg00051782,0.08994530141353607
cg00056596,0.05996359884738922
cg00059486,0.7195630073547363
cg00060304,0.41974499821662903
cg00061093,0.2698360085487366
cg00068760,0.02998179942369461
cg00073543,0.2998180091381073
cg00075753,0.3897629976272583
cg00083068,0.02998179942369461
cg00087116,0.11992699652910233
cg00091964,0.7795259952545166
cg00096922,0.4797079861164093
cg00100281,0.02998179942369461
cg00102584,0.44972699880599976
cg00103598,0.11992699652910233
cg00106940,0.08994530141353607
cg00109300,1.0493600368499756
cg00109643,0.02998179942369461
cg00109797,0.8095080256462097
cg00116234,0.14990900456905365
cg00117744,0.02998179942369461
cg00131490,0.02998179942369461
cg00138195,0.44972699880599976
cg00140840,0.05996359884738922
cg00145315,1.2292499542236328
cg00146676,0.5696539878845215
cg00149071,1.6190199851989746
cg00152260,0.5996360182762146
cg00158333,0.11992699652910233
cg00160892,0.6296169757843018
cg00165325,0.05996359884738922
cg00166579,0.17989100515842438
cg00167491,0.2698360085487366
cg00174373,0.14990900456905365
cg00180917,1.1692899465560913
cg00181100,0.3897629976272583
cg00187380,0.7795259952545166
cg00193345,0.23985399305820465
cg00194857,0.50968998670578
cg00195577,0.05996359884738922
cg00197024,0.3897629976272583
cg00197456,0.11992699652910233
cg00204390,0.3897629976272583
cg00207962,1.2292499542236328
cg00216659,0.02998179942369461
cg00220465,0.50968998670578
cg00222071,0.9594169855117798
cg00225449,0.3897629976272583
cg00234132,0.02998179942369461
cg00234378,0.08994530141353607
cg00243488,0.05996359884738922
cg00247020,0.05996359884738922
cg00249744,0.9594169855117798
cg00251344,0.2998180091381073
cg00264615,0.14990900456905365
cg00269503,0.41974499821662903
cg00272971,0.50968998670578
cg00279054,0.4797079861164093
cg00282704,0.4797079861164093
cg00286320,0.08994530141353607
cg00293511,1.1093300580978394
cg00294442,0.9294350147247314
cg00295657,0.6595990061759949
cg00295725,0.11992699652910233
cg00296110,0.3597809970378876
cg00298697,0.5996360182762146
cg00304629,0.11992699652910233
cg00308441,0.11992699652910233
cg00308763,0.02998179942369461
cg00310182,0.5396720170974731
cg00310215,0.08994530141353607
cg00311846,1.1093300580978394
cg00316483,0.05996359884738922
cg00320782,0.05996359884738922
cg00323965,0.329800009727478
cg00324991,0.14990900456905365
cg00330845,0.02998179942369461
cg00331096,0.7495449781417847
cg00331900,0.08994530141353607
cg00339654,1.349179983139038
cg00339708,1.2892199754714966
cg00343217,0.11992699652910233
cg00349375,0.02998179942369461
cg00360105,0.3897629976272583
cg00362487,0.20987200736999512
cg00369852,0.11992699652910233
cg00371107,0.14990900456905365
cg00386839,0.4797079861164093
cg00388556,1.01937997341156
cg00398876,0.05996359884738922
cg00402434,0.3597809970378876
cg00403457,0.17989100515842438
cg00407148,0.9294350147247314
cg00410898.1,0.05996359884738922
cg00410898.2,0.05996359884738922
cg00414520,0.02998179942369461
cg00424048,0.05996359884738922
cg00424298,0.17989100515842438
cg00426659,0.05996359884738922
cg00427623,0.5696539878845215
cg00434962,0.08994530141353607
cg00437193,0.8994529843330383
cg00445879,0.8394899964332581
cg00451044,0.02998179942369461
cg00459263,0.7495449781417847
cg00462525,0.6595990061759949
cg00465284,1.01937997341156
cg00470955,0.14990900456905365
cg00471664,0.20987200736999512
cg00480149,0.11992699652910233
cg00485681,0.8095080256462097
cg00487538,0.8394899964332581
cg00491561,0.02998179942369461
cg00500681,0.08994530141353607
cg00507817,0.17989100515842438
cg00527510,0.02998179942369461
cg00528052,0.05996359884738922
cg00532890,0.08994530141353607
cg00535482,0.17989100515842438
cg00540391,0.20987200736999512
cg00546693,1.1393100023269653
cg00547789,0.08994530141353607
cg00551264,0.08994530141353607
cg00553880,0.08994530141353607
cg00553886,0.11992699652910233
cg00553911,0.08994530141353607
cg00556573,0.02998179942369461
cg00557468,0.3897629976272583
cg00557947,0.4797079861164093
cg00562080,0.05996359884738922
cg00563016,0.11992699652910233
cg00571033,0.11992699652910233
cg00572334,0.02998179942369461
cg00576279,1.2892199754714966
cg00578937,0.14990900456905365
cg00585163,0.50968998670578
cg00591406,0.02998179942369461
cg00593231,0.8994529843330383
cg00595237,1.01937997341156
cg00597285,0.44972699880599976
cg00605332,0.05996359884738922
cg00608008,1.1393100023269653
cg00611149,0.3597809970378876
cg00612925,0.44972699880599976
cg00613562,0.23985399305820465
cg00618420,0.7795259952545166
cg00621125,0.41974499821662903
cg00627621,0.11992699652910233
cg00633857,1.1093300580978394
cg00650422,0.11992699652910233
cg00653777,0.08994530141353607
cg00659065,0.2698360085487366
cg00663972,0.11992699652910233
cg00672555,0.08994530141353607
cg00688252,0.11992699652910233
cg00689651,0.329800009727478
cg00694357,0.14990900456905365
cg00696388,0.329800009727478
cg00700237,0.14990900456905365
cg00703091,0.17989100515842438
cg00713411,0.4797079861164093
cg00720104,0.6895809769630432
cg00724499,0.17989100515842438
cg00726571,0.20987200736999512
cg00733912,0.23985399305820465
cg00738721,0.08994530141353607
cg00740694,0.8394899964332581
cg00741609,0.8095080256462097
cg00742557,0.17989100515842438
cg00750099,0.08994530141353607
cg00752852,0.08994530141353607
cg00760643,0.02998179942369461
cg00764339,0.08994530141353607
cg00767915,0.6595990061759949
cg00770316,0.02998179942369461
cg00772083,0.17989100515842438
cg00773909,0.4797079861164093
cg00774005,0.4797079861164093
cg00775910,0.8394899964332581
cg00777340,0.8095080256462097
cg00783674,0.11992699652910233
cg00784442,0.14990900456905365
cg00793774,0.08994530141353607
cg00794359,0.8095080256462097
cg00795277,0.17989100515842438
cg00806925,0.8694720268249512
cg00809033,0.11992699652910233
cg00809740,0.05996359884738922
cg00810883,0.2698360085487366
cg00811221,0.02998179942369461
cg00815652,0.11992699652910233
cg00816192,0.5396720170974731
cg00817637,0.41974499821662903
cg00824176,0.05996359884738922
cg00830351,0.11992699652910233
cg00839434,0.7795259952545166
cg00841581,0.11992699652910233
cg00842325,1.1692899465560913
cg00843792,0.08994530141353607
cg00853576,0.11992699652910233
cg00855137,0.02998179942369461
cg00859590,0.14990900456905365
cg00860225,0.20987200736999512
cg00860838,0.5996360182762146
cg00862376,0.2998180091381073
cg00863740,0.41974499821662903
cg00865002,0.2998180091381073
cg00867415,0.2998180091381073
cg00877778,0.02998179942369461
cg00887636,0.11992699652910233
cg00894554,0.08994530141353607
cg00897651,0.11992699652910233
cg00901683,0.20987200736999512
cg00901685,0.3597809970378876
cg00902440,0.6296169757843018
cg00906973,0.7495449781417847
cg00910419,0.50968998670578
cg00913314,0.02998179942369461
cg00918089,0.05996359884738922
cg00920372,0.14990900456905365
cg00923443,0.02998179942369461
cg00928703,0.8095080256462097
cg00928732,0.23985399305820465
cg00929113,0.50968998670578
cg00929516,0.11992699652910233
cg00934241,0.02998179942369461
cg00945808,0.05996359884738922
cg00951719,0.14990900456905365
cg00952114,0.41974499821662903
cg00953793,0.02998179942369461
cg00953859,0.8394899964332581
cg00957561,0.08994530141353607
cg00959147,0.11992699652910233
cg00959249,0.17989100515842438
cg00975228,1.1093300580978394
cg00975350,0.14990900456905365
cg00985561,0.11992699652910233
cg00987824,1.1393100023269653
cg01008025,0.2998180091381073
cg01011077,0.02998179942369461
cg01012005.1,0.7195630073547363
cg01012005.2,0.7195630073547363
cg01013124,0.05996359884738922
cg01019040,1.0493600368499756
cg01024113,0.05996359884738922
cg01032683,0.2998180091381073
cg01033486,0.23985399305820465
cg01033833,0.08994530141353607
cg01037009,0.44972699880599976
cg01042193,0.41974499821662903
cg01047218,0.08994530141353607
cg01052585,0.5696539878845215
cg01059743,0.9294350147247314
cg01061575,0.02998179942369461
cg01070983,0.14990900456905365
cg01079397.1,0.08994530141353607
cg01079812,0.6296169757843018
cg01099217,1.01937997341156
cg01115712,0.5696539878845215
cg01119116,1.1692899465560913
cg01120541,1.1393100023269653
cg01121770,0.05996359884738922
cg01125845,0.05996359884738922
cg01130580,0.11992699652910233
cg01131263,0.6895809769630432
cg01134518,0.9893990159034729
cg01136382,0.08994530141353607
cg01140515,0.08994530141353607
cg01141580,0.7795259952545166
cg01149078,0.6895809769630432
cg01150223,0.08994530141353607
cg01153166,1.1692899465560913
cg01153660,0.6595990061759949
cg01156877,0.44972699880599976
cg01163536,0.3597809970378876
cg01171272,0.6296169757843018
cg01171786,0.5996360182762146
cg01173053,0.02998179942369461
cg01178121,0.5996360182762146
cg01181227,1.319200038909912
cg01183821,0.14990900456905365
cg01184817,0.08994530141353607
cg01190601,0.23985399305820465
cg01193554,0.20987200736999512
cg01193810,0.14990900456905365
cg01197537,1.319200038909912
cg01206394,0.17989100515842438
cg01227361,0.05996359884738922
cg01232138,0.05996359884738922
cg01235968,0.14990900456905365
cg01239622,0.6296169757843018
cg01239827,0.11992699652910233
cg01245471,1.1393100023269653
cg01246498,0.17989100515842438
cg01248517,0.2998180091381073
cg01257828,1.01937997341156
cg01266390,0.02998179942369461
cg01267365,0.9893990159034729
cg01272490,0.50968998670578
cg01275157,0.50968998670578
cg01277258,0.17989100515842438
cg01280724,0.08994530141353607
cg01286580,0.08994530141353607
cg01290613,0.6895809769630432
cg01292679,0.08994530141353607
cg01293647,0.6895809769630432
cg01294450,0.02998179942369461
cg01301138,0.8095080256462097
cg01301326,0.3897629976272583
cg01307387,0.41974499821662903
cg01307652,0.9294350147247314
cg01315721,0.7195630073547363
cg01319626,0.08994530141353607
cg01326566,0.14990900456905365
cg01329059,0.11992699652910233
cg01329421,0.08994530141353607
cg01352789,1.1393100023269653
cg01360368,0.11992699652910233
cg01362022,0.05996359884738922
cg01370449,0.50968998670578
cg01383681,0.2698360085487366
cg01385056,0.14990900456905365
cg01385439,0.02998179942369461
cg01385512,0.17989100515842438
cg01391058,0.05996359884738922
cg01394860,0.02998179942369461
cg01398352,0.14990900456905365
cg01403803,0.05996359884738922
cg01412053,0.20987200736999512
cg01418317,0.9594169855117798
cg01418441,0.14990900456905365
cg01434367,0.23985399305820465
cg01443426,0.05996359884738922
cg01444045,0.08994530141353607
cg01452506,0.11992699652910233
cg01460805,1.7389400005340576
cg01462040,0.2998180091381073
cg01466662,0.08994530141353607
cg01469140,0.2698360085487366
cg01471217,0.9893990159034729
cg01473155,0.11992699652910233
cg01486146,0.2998180091381073
cg01493609,0.02998179942369461
cg01499097,0.20987200736999512
cg01500797,1.1393100023269653
cg01501208,0.5996360182762146
cg01502462,0.5696539878845215
cg01504682,0.2998180091381073
cg01510883,0.23985399305820465
cg01510925,0.9893990159034729
cg01514664,0.08994530141353607
cg01515407,0.08994530141353607
cg01517654,0.7195630073547363
cg01518594,1.01937997341156
cg01520983,0.02998179942369461
cg01521169,0.5396720170974731
cg01523865,0.05996359884738922
cg01524299,0.02998179942369461
cg01526253,0.11992699652910233
cg01526265,0.02998179942369461
cg01528792,0.08994530141353607
cg01530089,0.20987200736999512
cg01531512,0.08994530141353607
cg01533729,1.4091399908065796
cg01537787,0.7195630073547363
cg01556209,0.08994530141353607
cg01558300,0.08994530141353607
cg01560036,0.3897629976272583
cg01562774,0.6595990061759949
cg01574836,0.08994530141353607
cg01577249,0.05996359884738922
cg01579023,0.5996360182762146
cg01588659,0.02998179942369461
cg01593388,0.05996359884738922
cg01599380,0.17989100515842438
cg01608986,0.329800009727478
cg01611780,0.02998179942369461
cg01614615,0.17989100515842438
cg01619693,0.11992699652910233
cg01620430,0.17989100515842438
cg01621100,1.01937997341156
cg01626197,0.05996359884738922
cg01626791,0.02998179942369461
cg01630982,1.0493600368499756
cg01632700,0.7195630073547363
cg01634038,1.1692899465560913
cg01637282,0.6595990061759949
cg01639959,0.8394899964332581
cg01640606,0.8694720268249512
cg01646475,0.05996359884738922
cg01650941,0.41974499821662903
cg01651170,0.20987200736999512
cg01658453,0.44972699880599976
cg01658750,0.02998179942369461
cg01663261,0.2998180091381073
cg01663519,0.11992699652910233
cg01663821,0.05996359884738922
cg01664666,0.5996360182762146
cg01668262,0.02998179942369461
